I, [2015-02-26T09:53:03.499169 #43302]  INFO -- default-centos-64: -----> Cleaning up any prior instances of <default-centos-64>
I, [2015-02-26T09:53:03.499315 #43302]  INFO -- default-centos-64: -----> Destroying <default-centos-64>...
I, [2015-02-26T09:53:03.502760 #43302]  INFO -- default-centos-64: Finished destroying <default-centos-64> (0m0.00s).
I, [2015-02-26T09:53:03.502961 #43302]  INFO -- default-centos-64: -----> Testing <default-centos-64>
I, [2015-02-26T09:53:03.503091 #43302]  INFO -- default-centos-64: -----> Creating <default-centos-64>...
I, [2015-02-26T09:53:04.591435 #43302]  INFO -- default-centos-64:      "PasswordAuthentication=yes",
I, [2015-02-26T09:53:04.591541 #43302]  INFO -- default-centos-64:      "-o",
I, [2015-02-26T09:53:04.591583 #43302]  INFO -- default-centos-64:      "UsePrivilegeSeparation=no",
I, [2015-02-26T09:53:04.591620 #43302]  INFO -- default-centos-64:      "-o",
I, [2015-02-26T09:53:04.591658 #43302]  INFO -- default-centos-64:      "PidFile=/tmp/sshd.pid"
I, [2015-02-26T09:53:04.591697 #43302]  INFO -- default-centos-64:  ],
I, [2015-02-26T09:53:04.591736 #43302]  INFO -- default-centos-64:  "CpuShares": 0,
I, [2015-02-26T09:53:04.591776 #43302]  INFO -- default-centos-64:  "Cpuset": "",
I, [2015-02-26T09:53:04.591814 #43302]  INFO -- default-centos-64:  "Domainname": "",
I, [2015-02-26T09:53:04.591851 #43302]  INFO -- default-centos-64:  "Entrypoint": null,
I, [2015-02-26T09:53:04.591887 #43302]  INFO -- default-centos-64:  "Env": [
I, [2015-02-26T09:53:04.591991 #43302]  INFO -- default-centos-64:      "PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin"
I, [2015-02-26T09:53:04.592027 #43302]  INFO -- default-centos-64:  ],
I, [2015-02-26T09:53:04.592059 #43302]  INFO -- default-centos-64:  "ExposedPorts": {
I, [2015-02-26T09:53:04.592089 #43302]  INFO -- default-centos-64:      "22/tcp": {}
I, [2015-02-26T09:53:04.592119 #43302]  INFO -- default-centos-64:  },
I, [2015-02-26T09:53:04.592146 #43302]  INFO -- default-centos-64:  "Hostname": "f0e00327a815",
I, [2015-02-26T09:53:04.592172 #43302]  INFO -- default-centos-64:  "Image": "7119bf1e3a14",
I, [2015-02-26T09:53:04.592199 #43302]  INFO -- default-centos-64:  "Memory": 0,
I, [2015-02-26T09:53:04.592225 #43302]  INFO -- default-centos-64:  "MemorySwap": 0,
I, [2015-02-26T09:53:04.592255 #43302]  INFO -- default-centos-64:  "NetworkDisabled": false,
I, [2015-02-26T09:53:04.592322 #43302]  INFO -- default-centos-64:  "OnBuild": null,
I, [2015-02-26T09:53:04.592343 #43302]  INFO -- default-centos-64:  "OpenStdin": false,
I, [2015-02-26T09:53:04.592359 #43302]  INFO -- default-centos-64:  "PortSpecs": null,
I, [2015-02-26T09:53:04.592376 #43302]  INFO -- default-centos-64:  "StdinOnce": false,
I, [2015-02-26T09:53:04.592393 #43302]  INFO -- default-centos-64:  "Tty": false,
I, [2015-02-26T09:53:04.592409 #43302]  INFO -- default-centos-64:  "User": "",
I, [2015-02-26T09:53:04.592425 #43302]  INFO -- default-centos-64:  "Volumes": null,
I, [2015-02-26T09:53:04.592454 #43302]  INFO -- default-centos-64:  "WorkingDir": ""
I, [2015-02-26T09:53:04.592473 #43302]  INFO -- default-centos-64:     },
I, [2015-02-26T09:53:04.592513 #43302]  INFO -- default-centos-64:     "Created": "2015-02-24T23:43:10.203912497Z",
I, [2015-02-26T09:53:04.592540 #43302]  INFO -- default-centos-64:     "Driver": "aufs",
I, [2015-02-26T09:53:04.592578 #43302]  INFO -- default-centos-64:     "ExecDriver": "native-0.2",
I, [2015-02-26T09:53:04.592593 #43302]  INFO -- default-centos-64:     "HostConfig": {
I, [2015-02-26T09:53:04.592610 #43302]  INFO -- default-centos-64:  "Binds": null,
I, [2015-02-26T09:53:04.592639 #43302]  INFO -- default-centos-64:  "CapAdd": null,
I, [2015-02-26T09:53:04.592673 #43302]  INFO -- default-centos-64:  "CapDrop": null,
I, [2015-02-26T09:53:04.592704 #43302]  INFO -- default-centos-64:  "ContainerIDFile": "",
I, [2015-02-26T09:53:04.592735 #43302]  INFO -- default-centos-64:  "Devices": [],
I, [2015-02-26T09:53:04.592805 #43302]  INFO -- default-centos-64:  "Dns": null,
I, [2015-02-26T09:53:04.592842 #43302]  INFO -- default-centos-64:  "DnsSearch": null,
I, [2015-02-26T09:53:04.592872 #43302]  INFO -- default-centos-64:  "ExtraHosts": null,
I, [2015-02-26T09:53:04.592899 #43302]  INFO -- default-centos-64:  "Links": null,
I, [2015-02-26T09:53:04.592926 #43302]  INFO -- default-centos-64:  "LxcConf": [],
I, [2015-02-26T09:53:04.592960 #43302]  INFO -- default-centos-64:  "NetworkMode": "bridge",
I, [2015-02-26T09:53:04.592993 #43302]  INFO -- default-centos-64:  "PortBindings": {
I, [2015-02-26T09:53:04.593023 #43302]  INFO -- default-centos-64:      "22/tcp": [
I, [2015-02-26T09:53:04.593052 #43302]  INFO -- default-centos-64:          {
I, [2015-02-26T09:53:04.593081 #43302]  INFO -- default-centos-64:              "HostIp": "",
I, [2015-02-26T09:53:04.593113 #43302]  INFO -- default-centos-64:              "HostPort": ""
I, [2015-02-26T09:53:04.593144 #43302]  INFO -- default-centos-64:          }
I, [2015-02-26T09:53:04.593173 #43302]  INFO -- default-centos-64:      ]
I, [2015-02-26T09:53:04.593264 #43302]  INFO -- default-centos-64:  },
I, [2015-02-26T09:53:04.593303 #43302]  INFO -- default-centos-64:  "Privileged": false,
I, [2015-02-26T09:53:04.593337 #43302]  INFO -- default-centos-64:  "PublishAllPorts": false,
I, [2015-02-26T09:53:04.593366 #43302]  INFO -- default-centos-64:  "RestartPolicy": {
I, [2015-02-26T09:53:04.593395 #43302]  INFO -- default-centos-64:      "MaximumRetryCount": 0,
I, [2015-02-26T09:53:04.593423 #43302]  INFO -- default-centos-64:      "Name": ""
I, [2015-02-26T09:53:04.593457 #43302]  INFO -- default-centos-64:  },
I, [2015-02-26T09:53:04.593488 #43302]  INFO -- default-centos-64:  "SecurityOpt": null,
I, [2015-02-26T09:53:04.593520 #43302]  INFO -- default-centos-64:  "VolumesFrom": null
I, [2015-02-26T09:53:04.593660 #43302]  INFO -- default-centos-64:     },
I, [2015-02-26T09:53:04.593689 #43302]  INFO -- default-centos-64:     "HostnamePath": "/mnt/sda1/var/lib/docker/containers/f0e00327a81539f797545adefdc86f1bcc97e1cf3f499f27945da663f6eebd6c/hostname",
I, [2015-02-26T09:53:04.593717 #43302]  INFO -- default-centos-64:     "HostsPath": "/mnt/sda1/var/lib/docker/containers/f0e00327a81539f797545adefdc86f1bcc97e1cf3f499f27945da663f6eebd6c/hosts",
I, [2015-02-26T09:53:04.593742 #43302]  INFO -- default-centos-64:     "Id": "f0e00327a81539f797545adefdc86f1bcc97e1cf3f499f27945da663f6eebd6c",
I, [2015-02-26T09:53:04.593769 #43302]  INFO -- default-centos-64:     "Image": "7119bf1e3a1411d666a0a6bb193e618ffca74b9886ccd0421b92cd5f6043041b",
I, [2015-02-26T09:53:04.593795 #43302]  INFO -- default-centos-64:     "MountLabel": "",
I, [2015-02-26T09:53:04.593820 #43302]  INFO -- default-centos-64:     "Name": "/jolly_hypatia",
I, [2015-02-26T09:53:04.593844 #43302]  INFO -- default-centos-64:     "NetworkSettings": {
I, [2015-02-26T09:53:04.593874 #43302]  INFO -- default-centos-64:  "Bridge": "docker0",
I, [2015-02-26T09:53:04.593906 #43302]  INFO -- default-centos-64:  "Gateway": "172.17.42.1",
I, [2015-02-26T09:53:04.594026 #43302]  INFO -- default-centos-64:  "IPAddress": "172.17.0.26",
I, [2015-02-26T09:53:04.594060 #43302]  INFO -- default-centos-64:  "IPPrefixLen": 16,
I, [2015-02-26T09:53:04.594091 #43302]  INFO -- default-centos-64:  "MacAddress": "02:42:ac:11:00:1a",
I, [2015-02-26T09:53:04.594121 #43302]  INFO -- default-centos-64:  "PortMapping": null,
I, [2015-02-26T09:53:04.594153 #43302]  INFO -- default-centos-64:  "Ports": {
I, [2015-02-26T09:53:04.594184 #43302]  INFO -- default-centos-64:      "22/tcp": [
I, [2015-02-26T09:53:04.594215 #43302]  INFO -- default-centos-64:          {
I, [2015-02-26T09:53:04.594247 #43302]  INFO -- default-centos-64:              "HostIp": "0.0.0.0",
I, [2015-02-26T09:53:04.594320 #43302]  INFO -- default-centos-64:              "HostPort": "49160"
I, [2015-02-26T09:53:04.594357 #43302]  INFO -- default-centos-64:          }
I, [2015-02-26T09:53:04.594389 #43302]  INFO -- default-centos-64:      ]
I, [2015-02-26T09:53:04.594419 #43302]  INFO -- default-centos-64:  }
I, [2015-02-26T09:53:04.594444 #43302]  INFO -- default-centos-64:     },
I, [2015-02-26T09:53:04.594470 #43302]  INFO -- default-centos-64:     "Path": "/usr/sbin/sshd",
I, [2015-02-26T09:53:04.594496 #43302]  INFO -- default-centos-64:     "ProcessLabel": "",
I, [2015-02-26T09:53:04.594523 #43302]  INFO -- default-centos-64:     "ResolvConfPath": "/mnt/sda1/var/lib/docker/containers/f0e00327a81539f797545adefdc86f1bcc97e1cf3f499f27945da663f6eebd6c/resolv.conf",
I, [2015-02-26T09:53:04.594553 #43302]  INFO -- default-centos-64:     "State": {
I, [2015-02-26T09:53:04.594584 #43302]  INFO -- default-centos-64:  "ExitCode": 0,
